exp	age	income	ownrent	incomesq
73.18000031	22	1.5	0	2.25
32.77999878	21	1.5	0	2.25
63.91999817	30	1.50999999	0	2.28
108.6100006	20	1.649999976	0	2.72
105.0400009	21	1.700000048	0	2.89
165.8500061	30	1.850000024	0	3.42
42.61999893	35	1.909999967	1	3.65
218.5200043	34	2	1	4
319.4899902	36	2	0	4
93.19999695	24	2	0	4
186.3500061	27	2	0	4
42.68999863	22	2.029999971	0	4.12
93.11000061	27	2.200000048	0	4.84
27.78000069	27	2.279999971	0	5.2
43.34000015	35	2.349999905	1	5.52
83.08000183	26	2.349999905	0	5.52
150.7899933	29	2.369999886	1	5.62
49.56000137	29	2.400000095	0	5.76
68.37999725	43	2.400000095	0	5.76
41.18999863	26	2.400000095	0	5.76
9.850000381	33	2.420000076	0	5.86
78.87000275	29	2.450000048	1	6
308.0499878	31	2.460000038	1	6.05
552.7199707	21	2.470000029	1	6.1
92	23	2.5	0	6.25
137.8699951	31	2.539999962	0	6.45
101.6800003	33	2.549999952	0	6.5
53.65000153	23	2.589999914	0	6.71
9.579999924	38	2.599999905	0	6.76
65.25	55	2.640000105	1	6.97
79.51000214	22	2.700000048	0	7.29
129.3699951	37	2.720000029	0	7.4
215.0700073	26	2.799999952	0	7.84
34.13000107	24	2.799999952	0	7.84
98.45999908	25	2.880000114	0	8.29
169.8899994	33	3	0	9
222.5399933	24	3	0	9
95.80000305	25	3	0	9
310.9400024	26	3	1	9
258.5499878	36	3.049999952	0	9.3
642.4699707	25	3.069999933	0	9.42
810.3900146	33	3.180000067	0	10.11
335.4299927	41	3.200000048	1	10.24
417.8299866	29	3.200000048	0	10.24
52.58000183	28	3.200000048	0	10.24
56.15000153	33	3.25	0	10.56
344.4700012	27	3.5	0	12.25
541.2999878	43	3.539999962	1	12.53
234.0500031	25	3.599999905	0	12.96
292.6600037	24	3.75	0	14.06
777.8200073	37	3.799999952	1	14.44
104.5400009	42	3.900000095	0	15.21
256.6600037	31	3.950000048	1	15.6
40.83000183	28	3.960000038	0	15.68
248.7200012	40	4	1	16
170.6399994	36	4	0	16
15	34	4.5	1	20.25
502.2000122	30	4.510000229	0	20.34
124.9800034	38	4.519999981	1	20.43
405.3500061	28	4.599999905	1	21.16
1898.030029	34	4.800000191	0	23.04
451.2000122	26	5	1	25
37.58000183	43	5.139999866	1	26.42
251.5200043	46	5.5	1	30.25
1532.77002	40	5.5	1	30.25
568.7700195	37	5.699999809	1	32.49
306.0299988	41	6	0	36
474.1499939	33	6	1	36
644.8300171	28	7	1	49
235.5700073	41	7.239999771	1	52.42
546.5	32	9.789999962	1	95.84
548.0300293	40	10	1	100
