y	income	price1	price2	price3	price4	catch1	catch2	catch3	catch4
3	7083.3	157.9	157.9	182.9	157.9	0.0678	0.2601	0.5391	0.0503
3	1250	15.1	10.5	34.5	15.1	0.1049	0.1574	0.4671	0.0451
2	3750	161.9	24.3	59.3	161.9	0.5333	0.2413	1.0266	0.4522
4	2083.3	15.1	55.9	84.9	15.1	0.0678	0.1643	0.5391	0.0789
2	4583.3	106.9	41.5	71	106.9	0.0678	0.1082	0.324	0.0503
3	4583.3	192.5	28.9	63.9	192.5	0.5333	0.1665	0.3975	0.4522
1	8750	51.9	191.9	220.9	51.9	0.0678	0.1643	0.5391	0.0789
3	2083.3	15.1	21.7	56.7	15.1	0.0678	0.0102	0.0209	0.0789
2	3750	34.9	34.9	53.4	34.9	0.2537	0.0233	0.0219	0.1498
2	2916.7	28.3	28.3	46.8	28.3	0.2537	0.0233	0.0219	0.1498
4	3750	34.9	24.3	48.3	34.9	0.1049	0.1574	0.4671	0.0451
2	7083.3	312.1	16.7	51.7	312.1	0.5333	0.2413	1.0266	0.4522
4	1250	17.9	4.1	28.1	17.9	0.1049	0.0023	0.0046	0.0451
4	2083.3	15.1	55.9	84.9	15.1	0.0678	0.0014	0.0029	0.0789
1	8750	74.5	74.5	93	74.5	0.2537	0.2339	0.6288	0.1498
4	5416.7	33.5	123.9	152.9	33.5	0.0678	0.1643	0.5391	0.0789
1	5416.7	48.1	33.5	57.5	48.1	0.1049	0.1574	0.4671	0.0451
4	2916.7	33.5	7.7	31.7	33.5	0.1049	0.0613	0.3087	0.0079
2	4583.3	211.3	11.3	46.3	211.3	0.5333	0.0361	0.4216	0.0069
2	4583.3	49.1	11.3	35.3	49.1	0.1049	0.1574	0.4671	0.0451
3	7916.7	345.7	18.5	53.5	345.7	0.5333	0.0156	0.0058	0.4522
3	8750	88.1	20.3	44.3	88.1	0.1049	0.0023	0.0046	0.0451
2	2083.3	100.7	15.1	50.1	100.7	0.5333	0.1665	0.3975	0.4522
3	2916.7	28.3	19.7	43.7	28.3	0.1049	0.0613	0.3087	0.0079
3	2916.7	33.5	34.3	69.3	33.5	0.0678	0.0559	0.6456	0.0789
1	1250	67.8	17.9	52.9	67.8	0.5333	0.2413	1.0266	0.4522
4	4583.3	50.3	49.1	73.1	50.3	0.1049	0.1574	0.4671	0.0451
2	7083.3	72.5	74.3	109.3	72.5	0.0678	0.0897	1.0905	0.0789
