prestige	education	log2inc	women
68.8	13.11	13.59234023	11.16
69.1	12.26	14.65949425	4.02
63.4	12.77	13.17850925	15.7
56.8	11.42	13.11390492	9.11
73.5	14.62	13.03668877	11.68
77.6	15.64	13.42914517	5.13
72.6	15.09	13.0115767	25.65
78.1	15.44	13.78983927	2.69
73.1	14.52	13.47383256	1.03
68.8	14.64	13.4282293	0.94
62	12.39	12.52698821	1.91
60	12.3	12.78524811	7.83
53.8	13.83	13.04046097	15.33
62.2	14.44	12.97459384	57.31
74.9	14.36	12.85428402	48.28
55.1	14.21	12.62935662	54.77
82.3	15.77	14.23354478	5.13
58.1	14.15	12.57742883	77.1
58.3	15.22	13.22776634	34.89
72.8	14.5	12.19414124	4.14
84.6	15.97	13.60733031	19.59
59.6	13.62	12.46352437	83.78
66.1	15.08	12.97190275	46.8
87.2	15.96	14.62730588	10.56
66.7	15.94	13.82952455	4.32
68.4	14.71	14.09490241	6.91
64.7	12.46	12.17180229	96.12
34.9	9.45	11.76694294	76.14
72.1	13.62	12.3140167	82.66
69.3	15.21	13.34872815	24.71
67.5	12.79	12.33873638	76.04
57.2	11.09	12.59735425	21.03
57.6	12.71	12.88455213	11.15
54.1	11.44	13.00246344	8.13
46	11.59	11.97871046	97.51
41.9	11.49	11.62021983	95.97
49.4	11.32	12.08613623	68.24
42.3	10.64	11.25738784	91.76
47.7	11.36	12.08015131	75.92
30.9	9.17	12.21704891	11.37
32.7	12.09	11.55842071	83.19
38.7	11.04	11.50233458	92.86
36.1	9.22	12.42809841	7.62
37.2	10.07	11.86843676	52.27
38.1	10.51	11.62616532	96.14
29.4	11.2	12.21097568	47.06
51.1	11.13	12.30263892	56.1
35.7	11.43	12.61171646	39.17
35.6	11	11.99258434	63.23
41.5	9.84	12.86920825	17.04
40.2	11.13	13.10000522	3.16
26.5	10.05	11.34096276	67.82
14.8	9.62	9.842350343	7
23.3	9.93	11.21067134	3.69
47.3	11.6	12.98921708	13.09
47.1	11.09	12.77148947	24.44
51.1	11.03	12.95782756	23.88
43.5	9.47	13.11877889	0
51.6	10.93	13.11812998	1.65
29.7	7.74	11.60547952	52
20.2	8.5	11.9403136	15.51
54.9	10.57	12.94196459	6.01
25.9	9.46	9.25502857	96.53
20.8	7.33	11.55074679	69.31
17.3	7.11	11.76155123	33.57
20.1	7.58	11.80654962	30.08
44.1	6.84	11.83091128	3.6
21.5	8.6	10.69348696	27.75
35.3	8.88	12.74399286	0
38.9	7.54	12.03583007	33.3
25.2	7.64	12.32586758	17.26
34.8	7.64	12.32586758	17.26
23.2	7.42	10.88417052	72.24
33.3	6.69	12.11731843	31.36
28.8	6.74	11.76694294	39.48
42.5	10.09	12.973518	1.5
44.2	8.81	12.70692764	4.28
35.9	8.4	12.6805793	2.3
41.8	7.92	12.66111003	5.17
35.9	8.43	12.50457074	13.62
43.7	8.78	12.68233627	5.78
50.8	8.76	11.94471206	74.54
37.2	10.29	12.41177578	2.92
28.2	6.38	11.47522678	90.67
38.1	8.1	12.50059295	0.81
50.3	10.1	12.91363743	0.78
27.3	6.67	12.19721669	0
40.9	9.05	13.02167404	1.34
50.2	9.93	12.80312207	0.99
51.1	8.24	13.11634396	0.65
38.9	6.92	12.37150441	0.56
36.2	6.6	12.54085453	0.52
29.9	7.81	12.15133372	2.46
42.9	8.33	12.75822321	0.61
26.5	7.52	11.93295289	1.09
66.1	12.27	13.77643303	0.58
48.9	8.49	13.11064643	0
35.9	7.58	12.44138803	9.47
25.1	7.93	12.04439412	3.59
26.1	8.37	12.21462269	0
42.2	10	12.65776504	13.58
35.2	8.55	11.82057788	70.87
