type	sex	age	reactors	adar
3	0	1	1	525
3	0	2	2	3675
3	0	3	5	5775
3	1	2	3	2625
3	1	3	1	525
3	0	3	2	7824
3	1	3	0	462
3	0	3	1	924
3	1	3	0	924
3	0	3	0	8722
3	1	2	0	374
3	0	1	0	232
3	0	2	0	888
3	0	3	2	10203
3	1	1	0	464
3	0	1	0	60
3	0	2	0	172
3	0	3	0	2924
3	1	1	0	30
3	1	3	0	172
3	0	1	0	126
3	0	3	0	1197
1	0	3	4	7431
1	1	3	0	177
1	0	1	1	389
1	0	2	0	6526
1	0	3	1	57176
3	0	1	0	408
3	0	3	1	6348
3	1	1	0	272
3	1	2	1	574
3	1	3	0	1058
2	0	1	0	2076
2	0	2	0	2195
2	0	3	0	8566
2	1	1	0	1219
2	1	2	0	2641
2	1	3	0	2254
2	0	2	3	2880
2	0	3	2	9804
2	1	1	0	90
2	1	2	0	1440
2	1	3	1	1231
2	0	1	0	6000
2	0	3	29	21848
2	1	1	0	7200
2	1	3	2	958
1	0	1	0	1874
1	0	2	0	6588
1	0	3	3	20976
1	1	1	0	420
2	0	1	0	4278
2	0	2	0	12420
2	0	3	1	26182
2	1	1	0	2976
2	1	2	1	11340
2	1	3	0	1378
2	0	3	0	775
2	1	2	0	152
2	1	3	1	149
4	0	3	0	344
4	1	3	1	344
3	0	3	0	15537
3	1	2	0	720
2	0	1	0	1500
2	0	2	0	2400
2	0	3	0	4744
2	1	2	1	4680
3	0	1	0	780
3	0	3	0	7884
3	1	1	0	720
3	1	2	0	660
2	0	1	0	1200
2	0	2	0	360
2	0	3	4	25112
2	1	1	0	720
2	1	3	2	22104
2	0	2	0	720
2	0	3	0	5480
2	1	3	0	1644
2	0	2	0	1080
2	1	1	0	90
1	1	3	0	720
2	0	1	0	337
2	0	2	1	1800
2	0	3	4	31440
2	1	1	0	174
2	1	2	1	1080
2	1	3	0	27410
4	0	1	0	45
4	0	2	1	1080
4	0	3	0	9360
4	1	1	0	52
4	1	2	0	720
4	1	3	1	7200
1	1	1	0	240
3	0	1	0	20271
3	0	3	7	47450
3	1	1	0	11143
3	1	3	1	2228
3	0	1	0	4827
3	0	2	0	4320
3	0	3	1	30633
3	1	1	0	4725
3	1	2	0	2700
3	1	3	0	1316
3	0	2	1	10273
3	0	3	0	19146
3	1	3	0	1424
3	0	3	0	1174
3	0	3	1	6226
3	0	3	0	3612
3	0	3	1	5223
2	0	1	0	24938.60938
2	0	2	2	20086.32227
2	1	1	0	15106.86816
2	1	2	0	6223.642578
2	0	2	17	21660
2	0	3	12	12269
2	1	2	11	15921
2	1	3	7	25104
4	1	2	0	631
1	0	2	0	1148
1	0	3	16	118084
1	1	2	0	1148
1	1	3	0	976
3	0	1	0	990
3	0	2	2	28400
3	0	3	11	102327
3	1	1	0	220
3	1	2	1	14924
3	1	3	0	4824
3	0	3	20	6418
3	1	3	0	135
